Subset size, Accuracy, F1-Score, VIF, Solution
8, -0.9673850781662606, -0.9442058978666715, 2.7963538902263787, molecule_name; f66; f67; f68; f69; f91; f124; f164
8, -0.9654287297799989, -0.93928124525826, 2.7454011598456765, molecule_name; f29; f66; f67; f68; f69; f91; f164
8, -0.9612625067060787, -0.9505236993658801, 2.5117100805700403, molecule_name; f29; f66; f67; f68; f69; f91; f124
8, -0.9599218650517803, -0.915943245607439, 2.3059315421152506, molecule_name; f29; f67; f70; f91; f116; f164; f166
8, -0.9598145156071585, -0.9221086253974813, 2.4673981639965135, molecule_name; f29; f67; f69; f91; f116; f164; f166
8, -0.9597367042207068, -0.9528912836033829, 2.8178817514177847, molecule_name; f56; f66; f67; f68; f69; f91; f129
8, -0.9535406007393907, -0.9328754655559559, 2.4910070871572483, molecule_name; f6; f66; f67; f68; f69; f91; f116
8, -0.9439454286984675, -0.901519624862312, 2.1922188764422255, molecule_name; f29; f67; f70; f116; f125; f164; f166
8, -0.9387493398296186, -0.9041707200489743, 1.759507039941146, molecule_name; f29; f66; f68; f69; f91; f164; f166
9, -0.9743600261354409, -0.9670100155057841, 3.6080370148529233, molecule_name; f66; f67; f68; f69; f91; f116; f154; f157
9, -0.9738110148775789, -0.9509863552594281, 2.6364576984656676, molecule_name; f29; f66; f67; f68; f69; f91; f124; f164
9, -0.9695461576518184, -0.960648380157853, 2.860319036527711, molecule_name; f29; f66; f67; f68; f69; f72; f125; f164
9, -0.96828030051582, -0.942092329417339, 2.611783423294845, molecule_name; f29; f66; f67; f68; f69; f91; f164; f166
9, -0.9594386098951453, -0.9400541941156408, 2.424436151096423, molecule_name; f29; f66; f67; f68; f69; f84; f91; f116
9, -0.9401971743663928, -0.9139555543017233, 1.7964349282034944, molecule_name; f66; f68; f69; f91; f116; f124; f131; f164
9, -0.9388766770415181, -0.9048669086170615, 1.7414809834783778, molecule_name; f6; f66; f68; f69; f91; f116; f164; f166
9, -0.93722687733669, -0.9119430859277097, 1.716689652792597, molecule_name; f29; f66; f68; f69; f91; f116; f124; f164
9, -0.9370196412430618, -0.9180283580609329, 1.8398635459837454, molecule_name; f29; f37; f66; f68; f69; f91; f124; f164
10, -0.9761780779595985, -0.9610763128670827, 3.6508418046970554, molecule_name; f66; f67; f68; f69; f70; f91; f124; f154; f164
10, -0.9757349027122826, -0.9594783961610591, 2.848281565861749, molecule_name; f29; f66; f67; f68; f69; f91; f124; f154; f164
10, -0.9740956448586037, -0.9618188520325912, 3.3871989472689323, molecule_name; f29; f66; f67; f68; f69; f91; f116; f154; f157
10, -0.9729482530795774, -0.9519809474242813, 2.51749379499654, molecule_name; f29; f66; f67; f68; f69; f91; f116; f124; f164
10, -0.9719022613836337, -0.9597781398882498, 2.864777341601144, molecule_name; f66; f67; f68; f69; f72; f91; f116; f164; f166
10, -0.9701190185432205, -0.945303799392134, 2.499967582513267, molecule_name; f29; f66; f67; f68; f69; f91; f116; f164; f166
10, -0.9695501760802265, -0.9531869440100188, 2.814408085645503, molecule_name; f29; f66; f67; f68; f69; f91; f116; f154; f164
10, -0.9689368177804498, -0.9555115159392615, 2.7446416002880176, molecule_name; f29; f66; f67; f68; f69; f72; f125; f164; f166
10, -0.9668828268026044, -0.9629630465265663, 2.4692998443650263, molecule_name; f56; f66; f67; f68; f69; f84; f91; f116; f124
10, -0.9621629999812127, -0.9523219230717178, 2.3552101931463696, molecule_name; f29; f66; f67; f68; f69; f84; f91; f116; f124
10, -0.9387120258515415, -0.9155019301842284, 1.7449604204356846, molecule_name; f29; f66; f68; f69; f91; f116; f124; f131; f164
10, -0.9385570815146032, -0.9231946957646923, 1.9023774249117278, molecule_name; f29; f37; f56; f66; f68; f69; f91; f124; f164
10, -0.9382072694935527, -0.9159062404868287, 1.7627350128133628, molecule_name; f29; f66; f68; f69; f84; f91; f116; f124; f164
11, -0.9766305425608974, -0.9602156684923686, 2.779446099636826, molecule_name; f29; f66; f67; f68; f69; f84; f91; f124; f154; f164
11, -0.9750813079410408, -0.9669007266780796, 6.235368901091705, molecule_name; f28; f66; f67; f68; f69; f72; f91; f116; f154; f157
11, -0.9744496318702079, -0.9674274443318239, 6.011477887330938, molecule_name; f6; f66; f67; f68; f69; f72; f91; f116; f154; f157
11, -0.9735240364643675, -0.9605432392034446, 2.7643648640443086, molecule_name; f29; f66; f67; f68; f69; f72; f91; f116; f164; f166
11, -0.9726790183762211, -0.9479416418571371, 2.4776544323509326, molecule_name; f29; f66; f67; f68; f69; f84; f91; f116; f124; f164
11, -0.9673875831605931, -0.9642366870813983, 2.3737015964458608, molecule_name; f29; f56; f66; f67; f68; f69; f84; f91; f116; f124
11, -0.9607191838728465, -0.941553543988244, 2.3313428167455683, molecule_name; f59; f66; f67; f68; f69; f84; f91; f100; f116; f124
11, -0.950549115632626, -0.933718117718081, 1.9052169713771598, molecule_name; f66; f68; f69; f84; f87; f91; f97; f124; f164; f166
12, -0.9775031677740829, -0.9695283632061571, 2.809995333924196, molecule_name; f66; f67; f68; f69; f84; f91; f116; f124; f129; f154; f164
12, -0.9771921831651855, -0.9698509438513183, 2.7574223242022717, molecule_name; f6; f66; f67; f68; f69; f91; f116; f124; f129; f154; f164
12, -0.9764323348843424, -0.9619151486397335, 2.661566320429445, molecule_name; f6; f66; f67; f68; f69; f84; f91; f116; f124; f154; f164
12, -0.9458349772358641, -0.9328873754247102, 1.7655472131669576, molecule_name; f29; f66; f68; f69; f84; f87; f91; f97; f116; f124; f164
13, -0.9744500493692634, -0.9712502420391026, 5.656772322479485, molecule_name; f29; f56; f66; f67; f68; f69; f72; f91; f116; f141; f154; f157
13, -0.9536224827416329, -0.9412212326066246, 1.88662513967146, molecule_name; f66; f68; f69; f84; f87; f91; f97; f116; f124; f131; f164; f166
13, -0.945830123809345, -0.9330036946031305, 1.7880247507829792, molecule_name; f29; f66; f68; f69; f84; f87; f91; f97; f116; f124; f131; f164
